D1,176,15,104,105,169,Pass
D2,129,12,95,117,155,Pass
D3,120,8,93,114,155.5,Pass
D4,107,8.5,94,109,158.5,Pass
D5,137,5,83.5,120,149,Pass
D6,169,3.5,75,133,139,Pass
D7,87,2,50,189,115,fail
D8,123,3,67,145,133,Pass
D9,108,6,55,173,122,Pass
D10,116,3,66,148,133,Pass
D11,101,4,52,181,119,Pass
D12,109,2.5,60,157,127,fail
D13,100,2,56,170,123,Fail
D14,133,6.5,89,113,151,Pass
D15,135,8.5,96,107,158,Pass
D16,123,7.5,82,121,144,Pass
D17,117,4.5,76,132,136,Pass
D18,123,6,77,130,140,Pass
D19,128,6.5,86,116,153,Pass
D20,137,16.5,103,98.5,173,Pass
D21,129,9.5,91,110,159,Pass
D22,138,15,101,100.5,171,Pass
D23,123,17,92.5,111,154,Pass
D24,131,19.5,107,95,170,Pass
D25,96.5,6,74.5,132,133,Pass
D26,133,6.5,89,113,151,Pass
D27,135,8.5,96,107,158,Pass
D28,123,7.5,82,121,144,Pass
D29,117,4.5,76,132,136,Pass
D30,123,6,77,130,140,Pass
D31,128,6.5,86,116,153,Pass
D32,137,16.5,103,98.5,173,Pass
D33,129,9.5,91,110,159,Pass
D34,138,15,101,100.5,171,Pass
D35,123,17,92.5,111,154,Pass
D36,131,19.5,107,95,170,Pass
D37,96.5,6,74.5,132,133,Pass
D38,133,6.5,89,113,151,Pass
D39,135,8.5,96,107,158,Pass
D40,123,7.5,82,121,144,Pass
D41,117,4.5,76,132,136,Pass
D42,123,6,77,130,140,Pass
D43,128,6.5,86,116,153,Pass
D44,137,16.5,103,98.5,173,Pass
D45,129,9.5,91,110,159,Pass
D46,138,15,101,100.5,171,Pass
D47,123,17,92.5,111,154,Pass
D48,131,19.5,107,95,170,Pass
D49,96.5,6,74.5,132,133,Pass
D50,133,6.5,89,113,151,Pass
